,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 19:18:57.937000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-130.375,-11.5,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:58.942000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129,-11.875,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:59.956000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:00.963000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-11.062,-18.375,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:01.973000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-130.062,-11.875,-16.5,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:02.987000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-11.062,-16.875,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:03.996000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129,-11.5,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:05.005000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.375,-12.25,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:06.016000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.25,-11.875,-16.5,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:07.019000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129,-11.062,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
