,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2
2024-11-27 23:02:34.575000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.4,44.3,-11.72,0,1,0
2024-11-27 23:02:34.626000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.72,0,1,0
2024-11-27 23:02:34.676000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:34.727000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:34.775000+00:00,36.72859889,15,15,15,315,-2,1,21.06,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:34.866000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:35.213000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:35.263000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:35.464000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
2024-11-27 23:02:35.514000+00:00,36.72859889,15,15,15,315,-2,1,22,-68.188,-13.75,-35.375,-0.009,-0.02,0.029,-0.08,0.17,9.39,0.27,0.32,-0.4,-0.35,-0.15,9.79,1.1325,0,0,45,4.8,1,1016.33,44.3,-11.18,0,1,0
