temperature_value,vibration_magnitude,temperature_warning,vibration_warning,shutdown_decision
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.409431438721471,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.577943411818636,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.446126190137415,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.454231856687246,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.42606492657461,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.411269839931274,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.406806046687686,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.48532550838399,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.493497774793019,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.463936812975877,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.361709245645262,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.345635344908338,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.401031858258964,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.350101603726026,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.44454339817442,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.41779698230961,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.461744025284132,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.393066591907033,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.45516789909095,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.450296291651389,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
22.0,9.53097581572842,False,True,True
